Year,Total index; s.a. IP,Final products and nonindustrial supplies; s.a. IP,Consumer goods; s.a. IP,Durable consumer goods; s.a. IP,Automotive products; s.a. IP,"Computers, video and audio equipment; s.a. IP","Appliances, furniture, and carpeting; s.a. IP",Miscellaneous durable goods; s.a. IP,Nondurable consumer goods; s.a. IP,Nondurable nonenergy consumer goods; s.a. IP,Foods and tobacco; s.a. IP,Clothing; s.a. IP,Chemical products; s.a. IP,Paper products; s.a. IP,Consumer energy products; s.a. IP,Business equipment; s.a. IP,Transit equipment; s.a. IP,Information processing and related equipment; s.a. IP,Industrial and other equipment; s.a. IP,Defense and space equipment; s.a. IP,Construction supplies; s.a. IP,Business supplies; s.a. IP,Materials; s.a. IP,Materials ex. energy materials; s.a. IP,Durable goods materials; s.a. IP,Consumer parts; s.a. IP,Equipment parts; s.a. IP,Other durable materials; s.a. IP,Nondurable goods materials; s.a. IP,Textile materials; s.a. IP,Paper materials; s.a. IP,Chemical materials; s.a. IP,Energy materials; s.a. IP,Manufacturing (SIC); s.a. IP,Manufacturing (NAICS); s.a. IP,Durable manufacturing (NAICS); s.a. IP,Wood product  (NAICS = 321); s.a. IP,Nonmetallic mineral product  (NAICS = 327); s.a. IP,Primary metal  (NAICS = 331); s.a. IP,Fabricated metal product  (NAICS = 332); s.a. IP,Machinery  (NAICS = 333); s.a. IP,Computer and electronic product  (NAICS = 334); s.a. IP,"Electrical equipment, appliance, and component  (NAICS = 335); s.a. IP",Motor vehicles and parts  (NAICS = 3361-3); s.a. IP,Aerospace and miscellaneous transportation eq.  (NAICS = 3364-9); s.a. IP,Furniture and related product  (NAICS = 337); s.a. IP,Miscellaneous  (NAICS = 339); s.a. IP,Nondurable manufacturing (NAICS); s.a. IP,"Food, beverage, and tobacco  (NAICS = 311,2); s.a. IP","Textiles and products  (NAICS = 313,4); s.a. IP","Apparel and leather goods  (NAICS = 315,6); s.a. IP",Paper  (NAICS = 322); s.a. IP,Printing and related support activities  (NAICS = 323); s.a. IP,Petroleum and coal products  (NAICS = 324); s.a. IP,Chemical  (NAICS = 325); s.a. IP,Plastics and rubber products  (NAICS = 326); s.a. IP,Other manufacturing; s.a. IP,Mining  (NAICS = 21); s.a. IP,"Electric and gas utilities  (NAICS = 2211,2); s.a. IP","Electric power generation, transmission, and distribution  (NAICS = 2211); s.a. IP",Natural gas distribution  (NAICS = 2212); s.a. IP
1919-01,4.8654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8762,,,,,,,,,,,,,,,,,,,,,,,,23.562,,,
1919-02,4.6504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7741,,,,,,,,,,,,,,,,,,,,,,,,20.8142,,,
1919-03,4.516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5954,,,,,,,,,,,,,,,,,,,,,,,,19.8525,,,
1919-04,4.5966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6975,,,,,,,,,,,,,,,,,,,,,,,,21.2264,,,
1919-05,4.6235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.672,,,,,,,,,,,,,,,,,,,,,,,,22.1194,,,
1919-06,4.9192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0039,,,,,,,,,,,,,,,,,,,,,,,,22.7376,,,
1919-07,5.2149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2847,,,,,,,,,,,,,,,,,,,,,,,,24.1115,,,
1919-08,5.2955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4124,,,,,,,,,,,,,,,,,,,,,,,,23.4246,,,
1919-09,5.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2081,,,,,,,,,,,,,,,,,,,,,,,,25.2793,,,
1919-10,5.1342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.106,,,,,,,,,,,,,,,,,,,,,,,,26.035,,,
1919-11,5.0536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2847,,,,,,,,,,,,,,,,,,,,,,,,18.7534,,,
1919-12,5.1342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1826,,,,,,,,,,,,,,,,,,,,,,,,22.9437,,,
1920-01,5.6181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7187,,,,,,,,,,,,,,,,,,,,,,,,25.6228,,,
1920-02,5.6181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7187,,,,,,,,,,,,,,,,,,,,,,,,25.2793,,,
1920-03,5.5106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5911,,,,,,,,,,,,,,,,,,,,,,,,25.8975,,,
1920-04,5.2149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2592,,,,,,,,,,,,,,,,,,,,,,,,24.3863,,,
1920-05,5.3493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4379,,,,,,,,,,,,,,,,,,,,,,,,25.2793,,,
1920-06,5.403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4379,,,,,,,,,,,,,,,,,,,,,,,,26.3784,,,
1920-07,5.2686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2337,,,,,,,,,,,,,,,,,,,,,,,,26.241,,,
1920-08,5.2955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2592,,,,,,,,,,,,,,,,,,,,,,,,27.134,,,
1920-09,5.1073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1315,,,,,,,,,,,,,,,,,,,,,,,,25.2793,,,
1920-10,4.8923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8507,,,,,,,,,,,,,,,,,,,,,,,,27.2027,,,
1920-11,4.4891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3401,,,,,,,,,,,,,,,,,,,,,,,,27.9584,,,
1920-12,4.2203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0337,,,,,,,,,,,,,,,,,,,,,,,,28.2331,,,
1921-01,3.9784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8295,,,,,,,,,,,,,,,,,,,,,,,,24.3176,,,
1921-02,3.8977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8295,,,,,,,,,,,,,,,,,,,,,,,,23.0811,,,
1921-03,3.7902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7274,,,,,,,,,,,,,,,,,,,,,,,,21.5011,,,
1921-04,3.7902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7274,,,,,,,,,,,,,,,,,,,,,,,,21.5011,,,
1921-05,3.8977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.855,,,,,,,,,,,,,,,,,,,,,,,,21.9133,,,
1921-06,3.8708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8295,,,,,,,,,,,,,,,,,,,,,,,,21.089,,,
1921-07,3.8439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8295,,,,,,,,,,,,,,,,,,,,,,,,20.196,,,
1921-08,3.9784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9827,,,,,,,,,,,,,,,,,,,,,,,,20.402,,,
1921-09,4.0052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0337,,,,,,,,,,,,,,,,,,,,,,,,19.9899,,,
1921-10,4.2472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2125,,,,,,,,,,,,,,,,,,,,,,,,21.2951,,,
1921-11,4.1934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2635,,,,,,,,,,,,,,,,,,,,,,,,20.402,,,
1921-12,4.1665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2125,,,,,,,,,,,,,,,,,,,,,,,,20.6768,,,
1922-01,4.3278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3146,,,,,,,,,,,,,,,,,,,,,,,,23.0124,,,
1922-02,4.516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4167,,,,,,,,,,,,,,,,,,,,,,,,25.348,,,
1922-03,4.7579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6209,,,,,,,,,,,,,,,,,,,,,,,,27.3401,,,
1922-04,4.5966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8252,,,,,,,,,,,,,,,,,,,,,,,,15.8683,,,
1922-05,4.8385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0805,,,,,,,,,,,,,,,,,,,,,,,,16.0743,,,
1922-06,5.0805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3102,,,,,,,,,,,,,,,,,,,,,,,,17.5856,,,
1922-07,5.0805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3613,,,,,,,,,,,,,,,,,,,,,,,,16.8987,,,
1922-08,4.9729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1571,,,,,,,,,,,,,,,,,,,,,,,,18.616,,,
1922-09,5.2417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3102,,,,,,,,,,,,,,,,,,,,,,,,24.3863,,,
1922-10,5.5374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.54,,,,,,,,,,,,,,,,,,,,,,,,26.8593,,,
1922-11,5.7794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7443,,,,,,,,,,,,,,,,,,,,,,,,28.1645,,,
1922-12,5.9406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.923,,,,,,,,,,,,,,,,,,,,,,,,29.9505,,,
1923-01,5.8062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8208,,,,,,,,,,,,,,,,,,,,,,,,29.6757,,,
1923-02,5.8869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8719,,,,,,,,,,,,,,,,,,,,,,,,29.8818,,,
1923-03,6.0751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1272,,,,,,,,,,,,,,,,,,,,,,,,30.9809,,,
1923-04,6.2095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2038,,,,,,,,,,,,,,,,,,,,,,,,33.0417,,,
1923-05,6.2901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3314,,,,,,,,,,,,,,,,,,,,,,,,32.2174,,,
1923-06,6.2363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2549,,,,,,,,,,,,,,,,,,,,,,,,32.1487,,,
1923-07,6.1826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1527,,,,,,,,,,,,,,,,,,,,,,,,32.9043,,,
1923-08,6.0751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9995,,,,,,,,,,,,,,,,,,,,,,,,32.5608,,,
1923-09,5.9406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.974,,,,,,,,,,,,,,,,,,,,,,,,29.9505,,,
1923-10,5.9138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8719,,,,,,,,,,,,,,,,,,,,,,,,31.393,,,
1923-11,5.9138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8719,,,,,,,,,,,,,,,,,,,,,,,,31.3931,,,
1923-12,5.7794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7953,,,,,,,,,,,,,,,,,,,,,,,,29.2635,,,
1924-01,5.9138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8974,,,,,,,,,,,,,,,,,,,,,,,,30.2252,,,
1924-02,6.0213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0251,,,,,,,,,,,,,,,,,,,,,,,,31.4617,,,
1924-03,5.9138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.923,,,,,,,,,,,,,,,,,,,,,,,,29.6757,,,
1924-04,5.7256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7698,,,,,,,,,,,,,,,,,,,,,,,,27.4775,,,
1924-05,5.4837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4889,,,,,,,,,,,,,,,,,,,,,,,,27.6149,,,
1924-06,5.2417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2081,,,,,,,,,,,,,,,,,,,,,,,,27.4775,,,
1924-07,5.1611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1315,,,,,,,,,,,,,,,,,,,,,,,,27.4088,,,
1924-08,5.3493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3102,,,,,,,,,,,,,,,,,,,,,,,,27.134,,,
1924-09,5.5374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5145,,,,,,,,,,,,,,,,,,,,,,,,28.9888,,,
1924-10,5.6718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6677,,,,,,,,,,,,,,,,,,,,,,,,28.7827,,,
1924-11,5.7794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7953,,,,,,,,,,,,,,,,,,,,,,,,28.3705,,,
1924-12,5.9406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9995,,,,,,,,,,,,,,,,,,,,,,,,28.9201,,,
1925-01,6.1288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1783,,,,,,,,,,,,,,,,,,,,,,,,30.0879,,,
1925-02,6.1288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2038,,,,,,,,,,,,,,,,,,,,,,,,29.2635,,,
1925-03,6.1288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2293,,,,,,,,,,,,,,,,,,,,,,,,28.4392,,,
1925-04,6.1826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2293,,,,,,,,,,,,,,,,,,,,,,,,30.0192,,,
1925-05,6.1557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1783,,,,,,,,,,,,,,,,,,,,,,,,30.9122,,,
1925-06,6.1019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1527,,,,,,,,,,,,,,,,,,,,,,,,30.6374,,,
1925-07,6.2632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2804,,,,,,,,,,,,,,,,,,,,,,,,31.1183,,,
1925-08,6.1557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1783,,,,,,,,,,,,,,,,,,,,,,,,31.8052,,,
1925-09,6.0751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2038,,,,,,,,,,,,,,,,,,,,,,,,27.4088,,,
1925-10,6.317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4591,,,,,,,,,,,,,,,,,,,,,,,,27.3401,,,
1925-11,6.4514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6378,,,,,,,,,,,,,,,,,,,,,,,,27.8897,,,
1925-12,6.532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.791,,,,,,,,,,,,,,,,,,,,,,,,27.6149,,,
1926-01,6.4245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6378,,,,,,,,,,,,,,,,,,,,,,,,27.2027,,,
1926-02,6.4245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5867,,,,,,,,,,,,,,,,,,,,,,,,28.4392,,,
1926-03,6.5051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5612,,,,,,,,,,,,,,,,,,,,,,,,31.393,,,
1926-04,6.5051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5612,,,,,,,,,,,,,,,,,,,,,,,,31.4617,,,
1926-05,6.4514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5101,,,,,,,,,,,,,,,,,,,,,,,,30.7748,,,
1926-06,6.532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5867,,,,,,,,,,,,,,,,,,,,,,,,31.7365,,,
1926-07,6.5589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5867,,,,,,,,,,,,,,,,,,,,,,,,32.1487,,,
1926-08,6.6396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6633,,,,,,,,,,,,,,,,,,,,,,,,32.3548,,,
1926-09,6.7471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.791,,,,,,,,,,,,,,,,,,,,,,,,32.7669,,,
1926-10,6.7471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7399,,,,,,,,,,,,,,,,,,,,,,,,33.5225,,,
1926-11,6.7202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6889,,,,,,,,,,,,,,,,,,,,,,,,34.759,,,
1926-12,6.6933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6633,,,,,,,,,,,,,,,,,,,,,,,,34.8277,,,
1927-01,6.6664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6123,,,,,,,,,,,,,,,,,,,,,,,,33.9347,,,
1927-02,6.7202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6633,,,,,,,,,,,,,,,,,,,,,,,,34.4843,,,
1927-03,6.8008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7144,,,,,,,,,,,,,,,,,,,,,,,,36.1329,,,
1927-04,6.6396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6889,,,,,,,,,,,,,,,,,,,,,,,,31.8052,,,
1927-05,6.6933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7144,,,,,,,,,,,,,,,,,,,,,,,,32.0113,,,
1927-06,6.6664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7144,,,,,,,,,,,,,,,,,,,,,,,,31.5991,,,
1927-07,6.5858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6633,,,,,,,,,,,,,,,,,,,,,,,,30.3627,,,
1927-08,6.5858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6123,,,,,,,,,,,,,,,,,,,,,,,,31.9426,,,
1927-09,6.4783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5102,,,,,,,,,,,,,,,,,,,,,,,,31.1869,,,
1927-10,6.3439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.408,,,,,,,,,,,,,,,,,,,,,,,,30.6374,,,
1927-11,6.3439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3825,,,,,,,,,,,,,,,,,,,,,,,,30.4313,,,
1927-12,6.3707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4591,,,,,,,,,,,,,,,,,,,,,,,,29.9505,,,
1928-01,6.5051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5867,,,,,,,,,,,,,,,,,,,,,,,,30.2253,,,
1928-02,6.5589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6633,,,,,,,,,,,,,,,,,,,,,,,,30.0192,,,
1928-03,6.6127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6889,,,,,,,,,,,,,,,,,,,,,,,,31.5304,,,
1928-04,6.5858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6633,,,,,,,,,,,,,,,,,,,,,,,,30.6374,,,
1928-05,6.6664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7655,,,,,,,,,,,,,,,,,,,,,,,,31.5304,,,
1928-06,6.7202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.842,,,,,,,,,,,,,,,,,,,,,,,,30.7061,,,
1928-07,6.8008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9442,,,,,,,,,,,,,,,,,,,,,,,,30.7748,,,
1928-08,6.9352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0973,,,,,,,,,,,,,,,,,,,,,,,,31.7365,,,
1928-09,6.989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1229,,,,,,,,,,,,,,,,,,,,,,,,31.9426,,,
1928-10,7.1234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2505,,,,,,,,,,,,,,,,,,,,,,,,32.7669,,,
1928-11,7.2578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4037,,,,,,,,,,,,,,,,,,,,,,,,33.5913,,,
1928-12,7.3922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5313,,,,,,,,,,,,,,,,,,,,,,,,32.7669,,,
1929-01,7.4997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5824,,,,,,,,,,,,,,,,,,,,,,,,34.4843,,,
1929-02,7.4728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5569,,,,,,,,,,,,,,,,,,,,,,,,35.1712,,,
1929-03,7.4997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6335,,,,,,,,,,,,,,,,,,,,,,,,32.973,,,
1929-04,7.6341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7356,,,,,,,,,,,,,,,,,,,,,,,,34.6216,,,
1929-05,7.7685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8888,,,,,,,,,,,,,,,,,,,,,,,,34.2782,,,
1929-06,7.8223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9909,,,,,,,,,,,,,,,,,,,,,,,,34.0721,,,
1929-07,7.9298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0675,,,,,,,,,,,,,,,,,,,,,,,,34.9651,,,
1929-08,7.8492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0164,,,,,,,,,,,,,,,,,,,,,,,,34.6904,,,
1929-09,7.7954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8632,,,,,,,,,,,,,,,,,,,,,,,,35.3086,,,
1929-10,7.661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7867,,,,,,,,,,,,,,,,,,,,,,,,34.4155,,,
1929-11,7.2847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3526,,,,,,,,,,,,,,,,,,,,,,,,32.9043,,,
1929-12,6.9621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9186,,,,,,,,,,,,,,,,,,,,,,,,33.866,,,
1930-01,6.9621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9952,,,,,,,,,,,,,,,,,,,,,,,,32.9043,,,
1930-02,6.9352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9442,,,,,,,,,,,,,,,,,,,,,,,,32.0113,,,
1930-03,6.8277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7144,,,,,,,,,,,,,,,,,,,,,,,,30.1565,,,
1930-04,6.774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8165,,,,,,,,,,,,,,,,,,,,,,,,30.7748,,,
1930-05,6.6664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6889,,,,,,,,,,,,,,,,,,,,,,,,30.6374,,,
1930-06,6.4783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5102,,,,,,,,,,,,,,,,,,,,,,,,30.4313,,,
1930-07,6.1826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2038,,,,,,,,,,,,,,,,,,,,,,,,30.0192,,,
1930-08,6.0482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.974,,,,,,,,,,,,,,,,,,,,,,,,29.1949,,,
1930-09,5.9406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.923,,,,,,,,,,,,,,,,,,,,,,,,28.5079,,,
1930-10,5.7794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7187,,,,,,,,,,,,,,,,,,,,,,,,28.3705,,,
1930-11,5.645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5655,,,,,,,,,,,,,,,,,,,,,,,,27.9584,,,
1930-12,5.5106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4379,,,,,,,,,,,,,,,,,,,,,,,,27.2714,,,
1931-01,5.4837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4379,,,,,,,,,,,,,,,,,,,,,,,,26.3097,,,
1931-02,5.5106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.489,,,,,,,,,,,,,,,,,,,,,,,,25.5541,,,
1931-03,5.6181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5911,,,,,,,,,,,,,,,,,,,,,,,,26.5158,,,
1931-04,5.645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5911,,,,,,,,,,,,,,,,,,,,,,,,26.7219,,,
1931-05,5.5643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.54,,,,,,,,,,,,,,,,,,,,,,,,26.1723,,,
1931-06,5.4299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3358,,,,,,,,,,,,,,,,,,,,,,,,26.4471,,,
1931-07,5.3493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2592,,,,,,,,,,,,,,,,,,,,,,,,26.3097,,,
1931-08,5.1611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0805,,,,,,,,,,,,,,,,,,,,,,,,24.455,,,
1931-09,4.9192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8507,,,,,,,,,,,,,,,,,,,,,,,,23.9054,,,
1931-10,4.731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6209,,,,,,,,,,,,,,,,,,,,,,,,25.0732,,,
1931-11,4.6772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5443,,,,,,,,,,,,,,,,,,,,,,,,25.2106,,,
1931-12,4.6504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5188,,,,,,,,,,,,,,,,,,,,,,,,24.7984,,,
1932-01,4.516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4678,,,,,,,,,,,,,,,,,,,,,,,,22.4629,,,
1932-02,4.4084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3401,,,,,,,,,,,,,,,,,,,,,,,,22.1881,,,
1932-03,4.3547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1869,,,,,,,,,,,,,,,,,,,,,,,,23.562,,,
1932-04,4.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9316,,,,,,,,,,,,,,,,,,,,,,,,22.0507,,,
1932-05,3.9246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8295,,,,,,,,,,,,,,,,,,,,,,,,20.1959,,,
1932-06,3.7902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7019,,,,,,,,,,,,,,,,,,,,,,,,19.2342,,,
1932-07,3.6827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5742,,,,,,,,,,,,,,,,,,,,,,,,19.6464,,,
1932-08,3.7902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6763,,,,,,,,,,,,,,,,,,,,,,,,20.2647,,,
